,title,link
0,"Every day you live, you impact the planet",https://www.ted.com/talks/jane_goodall_every_day_you_live_you_impact_the_planet?language=en
1,How the pandemic will shape the near future,https://www.ted.com/talks/bill_gates_how_the_pandemic_will_shape_the_near_future?language=en
2,The new urgency of climate change,https://www.ted.com/talks/al_gore_the_new_urgency_of_climate_change?language=en
3,How digital innovation can fight pandemics and strengthen democracy,https://www.ted.com/talks/audrey_tang_how_digital_innovation_can_fight_pandemics_and_strengthen_democracy?language=en
4,"The difference between being ""not racist"" and antiracist",https://www.ted.com/talks/ibram_x_kendi_the_difference_between_being_not_racist_and_antiracist?language=en
5,The economic benefits of climate action,https://www.ted.com/talks/marcelo_mena_the_economic_benefits_of_climate_action?language=en
6,The path to ending systemic racism in the US,https://www.ted.com/talks/dr_phillip_atiba_goff_rashad_robinson_dr_bernice_king_anthony_d_romero_the_path_to_ending_systemic_racism_in_the_us?language=en
7,How tech companies can help combat the pandemic and reshape public health,https://www.ted.com/talks/karen_desalvo_how_tech_companies_can_help_combat_the_pandemic_and_reshape_public_health?language=en
8,"What COVID-19 means for the future of commerce, capitalism and cash",https://www.ted.com/talks/dan_schulman_what_covid_19_means_for_the_future_of_commerce_capitalism_and_cash?language=en
9,The secret weapon against pandemics,https://www.ted.com/talks/georges_c_benjamin_the_secret_weapon_against_pandemics?language=en
10,How to rebuild the global economy,https://www.ted.com/talks/kristalina_georgieva_how_to_rebuild_the_global_economy?language=en
11,How civilization could destroy itself — and 4 ways we could prevent it,https://www.ted.com/talks/nick_bostrom_how_civilization_could_destroy_itself_and_4_ways_we_could_prevent_it?language=en
12,How we can turn the tide on climate,https://www.ted.com/talks/christiana_figueres_and_chris_anderson_how_we_can_turn_the_tide_on_climate?language=en
13,"What is economic value, and who creates it?",https://www.ted.com/talks/mariana_mazzucato_what_is_economic_value_and_who_creates_it?language=en
14,This could be why you're depressed or anxious,https://www.ted.com/talks/johann_hari_this_could_be_why_you_re_depressed_or_anxious?language=en
15,Sleep is your superpower,https://www.ted.com/talks/matt_walker_sleep_is_your_superpower?language=en
16,Three ideas. Three contradictions. Or not.,https://www.ted.com/talks/hannah_gadsby_three_ideas_three_contradictions_or_not?language=en
17,How Twitter needs to change,https://www.ted.com/talks/jack_dorsey_how_twitter_needs_to_change?language=en
18,Is war between China and the US inevitable?,https://www.ted.com/talks/graham_allison_is_war_between_china_and_the_us_inevitable?language=en
19,A love letter to realism in a time of grief,https://www.ted.com/talks/mark_pollock_and_simone_george_a_love_letter_to_realism_in_a_time_of_grief?language=en
20,How Netflix changed entertainment — and where it's headed,https://www.ted.com/talks/reed_hastings_how_netflix_changed_entertainment_and_where_it_s_headed?language=en
21,Why fascism is so tempting — and how your data could power it,https://www.ted.com/talks/yuval_noah_harari_why_fascism_is_so_tempting_and_how_your_data_could_power_it?language=en
22,Is the world getting better or worse? A look at the numbers,https://www.ted.com/talks/steven_pinker_is_the_world_getting_better_or_worse_a_look_at_the_numbers?language=en
23,SpaceX's plan to fly you across the globe in 30 minutes,https://www.ted.com/talks/gwynne_shotwell_spacex_s_plan_to_fly_you_across_the_globe_in_30_minutes?language=en
24,3 lessons of revolutionary love in a time of rage,https://www.ted.com/talks/valarie_kaur_3_lessons_of_revolutionary_love_in_a_time_of_rage?language=en
25,How to put the power of law in people's hands,https://www.ted.com/talks/vivek_maru_how_to_put_the_power_of_law_in_people_s_hands?language=en
26,"Mammoths resurrected, geoengineering and other thoughts from a futurist",https://www.ted.com/talks/stewart_brand_and_chris_anderson_mammoths_resurrected_geoengineering_and_other_thoughts_from_a_futurist?language=en
27,"Why I'm done trying to be ""man enough""",https://www.ted.com/talks/justin_baldoni_why_i_m_done_trying_to_be_man_enough?language=en
28,What AI is — and isn't,https://www.ted.com/talks/sebastian_thrun_and_chris_anderson_what_ai_is_and_isn_t?language=en
29,The science of cells that never get old,https://www.ted.com/talks/elizabeth_blackburn_the_science_of_cells_that_never_get_old?language=en
30,An interview with the Queen of Creole Cuisine,https://www.ted.com/talks/leah_chase_and_pat_mitchell_an_interview_with_the_queen_of_creole_cuisine?language=en
31,An interview with Mauritius's first female president,https://www.ted.com/talks/ameenah_gurib_fakim_and_stephanie_busari_an_interview_with_mauritius_s_first_female_president?language=en
32,The future of storytelling,https://www.ted.com/talks/shonda_rhimes_and_cyndi_stivers_the_future_of_storytelling?language=en
33,We're building a dystopia just to make people click on ads,https://www.ted.com/talks/zeynep_tufekci_we_re_building_a_dystopia_just_to_make_people_click_on_ads?language=en
34,The powerful stories that shaped Africa,https://www.ted.com/talks/gus_casely_hayford_the_powerful_stories_that_shaped_africa?language=en
35,The new age of corporate monopolies,https://www.ted.com/talks/margrethe_vestager_the_new_age_of_corporate_monopolies?language=en
36,The revolutionary power of diverse thought,https://www.ted.com/talks/elif_shafak_the_revolutionary_power_of_diverse_thought?language=en
37,"A lyrical bridge between past, present and future",https://www.ted.com/talks/david_whyte_a_lyrical_bridge_between_past_present_and_future?language=en
38,What six years in captivity taught me about fear and faith,https://www.ted.com/talks/ingrid_betancourt_what_six_years_in_captivity_taught_me_about_fear_and_faith?language=en
39,The refugee crisis is a test of our character,https://www.ted.com/talks/david_miliband_the_refugee_crisis_is_a_test_of_our_character?language=en
40,Doesn't everyone deserve a chance at a good life?,https://www.ted.com/talks/jim_yong_kim_doesn_t_everyone_deserve_a_chance_at_a_good_life?language=en
41,No one should die because they live too far from a doctor,https://www.ted.com/talks/raj_panjabi_no_one_should_die_because_they_live_too_far_from_a_doctor?language=en
42,The future we're building — and boring,https://www.ted.com/talks/elon_musk_the_future_we_re_building_and_boring?language=en
43,"On tennis, love and motherhood",https://www.ted.com/talks/serena_williams_and_gayle_king_on_tennis_love_and_motherhood?language=en
44,Political common ground in a polarized United States,https://www.ted.com/talks/gretchen_carlson_david_brooks_political_common_ground_in_a_polarized_united_states?language=en
45,Nationalism vs. globalism: the new political divide,https://www.ted.com/talks/yuval_noah_harari_nationalism_vs_globalism_the_new_political_divide?language=en
46,Our story of rape and reconciliation,https://www.ted.com/talks/thordis_elva_and_tom_stranger_our_story_of_rape_and_reconciliation?language=en
47,Help discover ancient ruins — before it's too late,https://www.ted.com/talks/sarah_parcak_help_discover_ancient_ruins_before_it_s_too_late?language=en
48,A political party for women's equality,https://www.ted.com/talks/sandi_toksvig_a_political_party_for_women_s_equality?language=en
49,The urgency of intersectionality,https://www.ted.com/talks/kimberle_crenshaw_the_urgency_of_intersectionality?language=en
50,Can a divided America heal?,https://www.ted.com/talks/jonathan_haidt_can_a_divided_america_heal?language=en
51,It's time for women to run for office,https://www.ted.com/talks/halla_tomasdottir_it_s_time_for_women_to_run_for_office?language=en
52,Technology hasn't changed love. Here's why,https://www.ted.com/talks/helen_fisher_technology_hasn_t_changed_love_here_s_why?language=en
53,The risky politics of progress,https://www.ted.com/talks/jonathan_tepperman_the_risky_politics_of_progress?language=en
