,title,link
0,Give yourself permission to be creative,https://www.ted.com/talks/ethan_hawke_give_yourself_permission_to_be_creative?language=en
1,"A comprehensive, neighborhood-based response to COVID-19",https://www.ted.com/talks/kwame_owusu_kesse_a_comprehensive_neighborhood_based_response_to_covid_19?language=en
2,What if you could help decide how the government spends public funds?,https://www.ted.com/talks/shari_davis_what_if_you_could_help_decide_how_the_government_spends_public_funds?language=en
3,Want a more just world? Be an unlikely ally,https://www.ted.com/talks/nita_mosby_tyler_want_a_more_just_world_be_an_unlikely_ally?language=en
4,What happens when biology becomes technology?,https://www.ted.com/talks/christina_agapakis_what_happens_when_biology_becomes_technology?language=en
5,"A friendly, autonomous robot that delivers your food",https://www.ted.com/talks/ali_kashani_a_friendly_autonomous_robot_that_delivers_your_food?language=en
6,Africa is a sleeping giant — I'm trying to wake it up,https://www.ted.com/talks/adeola_fayehun_africa_is_a_sleeping_giant_i_m_trying_to_wake_it_up?language=en
7,The last chief of the Comanches and the fall of an empire,https://www.ted.com/talks/dustin_tahmahkera_the_last_chief_of_the_comanches_and_the_fall_of_an_empire?language=en
8,Stop being a bystander in your own life,https://www.ted.com/talks/tracy_edwards_stop_being_a_bystander_in_your_own_life?language=en
9,How to support and celebrate living artists,https://www.ted.com/talks/swizz_beatz_how_to_support_and_celebrate_living_artists?language=en
10,"The Factory | Think Like A Coder, Ep 9",https://www.ted.com/talks/alex_rosenthal_the_factory_think_like_a_coder_ep_9?language=en
11,The new science of personalized vaccines,https://www.ted.com/talks/ofer_levy_the_new_science_of_personalized_vaccines?language=en
12,My secret to staying focused under pressure,https://www.ted.com/talks/russell_wilson_my_secret_to_staying_focused_under_pressure?language=en
13,How drawing can set you free,https://www.ted.com/talks/shantell_martin_how_drawing_can_set_you_free?language=en
14,What tech companies know about your kids,https://www.ted.com/talks/veronica_barassi_what_tech_companies_know_about_your_kids?language=en
15,What can DNA tests really tell us about our ancestry?,https://www.ted.com/talks/prosanta_chakrabarty_what_can_dna_tests_really_tell_us_about_our_ancestry?language=en
16,How to support witnesses of harassment and build healthier workplaces,https://www.ted.com/talks/julia_shaw_how_to_support_witnesses_of_harassment_and_build_healthier_workplaces?language=en
17,The true cost of financial dependence,https://www.ted.com/talks/estelle_gibson_the_true_cost_of_financial_dependence?language=en
18,Autofocusing reading glasses of the future,https://www.ted.com/talks/nitish_padmanaban_autofocusing_reading_glasses_of_the_future?language=en
19,How the US can address the tragedy of veteran suicide,https://www.ted.com/talks/charles_p_smith_how_the_us_can_address_the_tragedy_of_veteran_suicide?language=en
20,"An ER doctor on triaging your ""crazy busy"" life",https://www.ted.com/talks/darria_long_an_er_doctor_on_triaging_your_crazy_busy_life?language=en
21,Why students should have mental health days,https://www.ted.com/talks/hailey_hardcastle_why_students_should_have_mental_health_days?language=en
22,How American and Chinese values shaped the coronavirus response,https://www.ted.com/talks/huang_hung_how_american_and_chinese_values_shaped_the_coronavirus_response?language=en
23,"What causes opioid addiction, and why is it so tough to combat?",https://www.ted.com/talks/mike_davis_what_causes_opioid_addiction_and_why_is_it_so_tough_to_combat?language=en
24,The cost of work stress — and how to reduce it,https://www.ted.com/talks/rob_cooke_the_cost_of_work_stress_and_how_to_reduce_it?language=en
25,The mental health benefits of storytelling for health care workers,https://www.ted.com/talks/laurel_braitman_the_mental_health_benefits_of_storytelling_for_health_care_workers?language=en
26,How we're using AI to discover new antibiotics,https://www.ted.com/talks/jim_collins_how_we_re_using_ai_to_discover_new_antibiotics?language=en
27,"A new way to ""grow"" islands and coastlines",https://www.ted.com/talks/skylar_tibbits_a_new_way_to_grow_islands_and_coastlines?language=en
28,"Crisis support for the world, one text away",https://www.ted.com/talks/nancy_lublin_crisis_support_for_the_world_one_text_away?language=en
29,An ode to living on Earth,https://www.ted.com/talks/oliver_jeffers_an_ode_to_living_on_earth?language=en
30,What's missing from the American immigrant narrative,https://www.ted.com/talks/elizabeth_camarillo_gutierrez_what_s_missing_from_the_american_immigrant_narrative?language=en
31,"The Gauntlet | Think Like A Coder, Ep 8",https://www.ted.com/talks/alex_rosenthal_the_gauntlet_think_like_a_coder_ep_8?language=en
32,"How to spark your curiosity, scientifically",https://www.ted.com/talks/nadya_mason_how_to_spark_your_curiosity_scientifically?language=en
33,"The wonders of the molecular world, animated",https://www.ted.com/talks/janet_iwasa_the_wonders_of_the_molecular_world_animated?language=en
34,How understanding divorce can help your marriage,https://www.ted.com/talks/jeannie_suk_gersen_how_understanding_divorce_can_help_your_marriage?language=en
35,"In uncertain times, think like a mother",https://www.ted.com/talks/yifat_susskind_in_uncertain_times_think_like_a_mother?language=en
36,The intangible effects of walls,https://www.ted.com/talks/alexandra_auer_the_intangible_effects_of_walls_apr_2020?language=en
37,What it's really like to have autism,https://www.ted.com/talks/ethan_lisi_what_it_s_really_like_to_have_autism?language=en
38,How you can help save the monarch butterfly — and the planet,https://www.ted.com/talks/mary_ellen_hannibal_how_you_can_help_save_the_monarch_butterfly_and_the_planet?language=en
39,2 questions to uncover your passion — and turn it into a career,https://www.ted.com/talks/noeline_kirabo_2_questions_to_uncover_your_passion_and_turn_it_into_a_career?language=en
40,"Simple, effective tech to connect communities in crisis",https://www.ted.com/talks/johanna_figueira_simple_effective_tech_to_connect_communities_in_crisis?language=en
41,A camera that can see around corners,https://www.ted.com/talks/david_lindell_a_camera_that_can_see_around_corners?language=en
42,"Go ahead, dream about the future",https://www.ted.com/talks/charlie_jane_anders_go_ahead_dream_about_the_future?language=en
43,How repaying loans with social service transforms communities,https://www.ted.com/talks/angie_murimirwa_how_repaying_loans_with_social_service_transforms_communities?language=en
